Name,Gender,Origin,Meaning,Description,Source_url
Abby,Unisex,English,Joy Of The Father,The name Abby means Joy Of The Father and is of English origin. Abby is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/abby
Abcde,Unisex,American,First 5 Letters Of The English Alphabet,The name Abcde means First 5 Letters Of The English Alphabet and is of American origin. Abcde is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/abcde
Abdalah,Male,Arabic,Servant Of Allah,The name Abdalah means Servant Of Allah and is of Arabic origin. Abdalah is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abdalah
Abdiel,Male,Hebrew,Servant Of God,The name Abdiel means Servant Of God and is of Hebrew origin. Abdiel is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abdiel
Abdukrahman,Male,Arabic,Servant Of The Most Gracious,The name Abdukrahman means Servant Of The Most Gracious and is of Arabic origin. Abdukrahman is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abdukrahman
Abdul,Male,Arabic,Servant Of,The name Abdul means Servant Of and is of Arabic origin. Abdul is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abdul
Abdulkareem,Male,Arabic,Servant Of The Most Generous,The name Abdulkareem means Servant Of The Most Generous and is of Arabic origin. Abdulkareem is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abdulkareem
Abdullah,Male,Arabic,Servant Of Allah,The name Abdullah means Servant Of Allah and is of Arabic origin. Abdullah is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abdullah
Abdulrahman,Male,Arabic,Servant Of The Most Gracious,The name Abdulrahman means Servant Of The Most Gracious and is of Arabic origin. Abdulrahman is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abdulrahman
Abe,Male,English,Father Of Nations,The name Abe means Father Of Nations and is of English origin. Abe is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abe
Abednego,Male,Arabic,Servant Of Nego,The name Abednego means Servant Of Nego and is of Arabic origin. Abednego is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abednego
Abeeku,Male,African,Born On Wednesday,The name Abeeku means Born On Wednesday and is of African origin. Abeeku is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abeeku
Abeje,Female,African,We Asked To Have This One,The name Abeje means We Asked To Have This One and is of African origin. Abeje is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abeje
Abel,Male,Hebrew,A Breath,The name Abel means A Breath and is of Hebrew origin. Abel is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abel
Abelard,Male,French,Brave Abel,The name Abelard means Brave Abel and is of French origin. Abelard is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abelard
Abelina,Female,German,A Breath,The name Abelina means A Breath and is of German origin. Abelina is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abelina
Abeni,Female,African,Girl Prayed For,The name Abeni means Girl Prayed For and is of African origin. Abeni is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abeni
Abercrombie,Unisex,Scottish,Bend In Marshy Ground,The name Abercrombie means Bend In Marshy Ground and is of Scottish origin. Abercrombie is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/abercrombie
Abhay,Male,Indian,Fearless,The name Abhay means Fearless and is of Indian origin. Abhay is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abhay
Abhinav,Male,Indian,New; Special,The name Abhinav means New; Special and is of Indian origin. Abhinav is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abhinav
Abia,Female,Arabic,Great,The name Abia means Great and is of Arabic origin. Abia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abia
Abiba,Female,African,The Beloved One,The name Abiba means The Beloved One and is of African origin. Abiba is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abiba
Abie,Male,English,Father Of A Nation,The name Abie means Father Of A Nation and is of English origin. Abie is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abie
Abiel,Male,Hebrew,God Is My Father,The name Abiel means God Is My Father and is of Hebrew origin. Abiel is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abiel
Abigail,Female,Hebrew,Joy Of The Father,The name Abigail means Joy Of The Father and is of Hebrew origin. Abigail is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abigail
Abilene,Female,Hebrew,Land Of Meadows,The name Abilene means Land Of Meadows and is of Hebrew origin. Abilene is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abilene
Abiyram,Male,Hebrew,High Father,The name Abiyram means High Father and is of Hebrew origin. Abiyram is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abiyram
Abla,Female,Arabic,Full-Figured,The name Abla means Full-Figured and is of Arabic origin. Abla is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abla
Abner,Male,Hebrew,Father Of Light,The name Abner means Father Of Light and is of Hebrew origin. Abner is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abner
Abra,Female,Hebrew,Mother Of Nations,The name Abra means Mother Of Nations and is of Hebrew origin. Abra is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abra
Abraham,Male,Hebrew,Father Of Nations,The name Abraham means Father Of Nations and is of Hebrew origin. Abraham is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abraham
Abram,Male,Hebrew,High Father,The name Abram means High Father and is of Hebrew origin. Abram is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abram
Abrianna,Female,American,From Abbie And Brianna,The name Abrianna means From Abbie And Brianna and is of American origin. Abrianna is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abrianna
Abrielle,Female,French,God Is My Strength,The name Abrielle means God Is My Strength and is of French origin. Abrielle is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abrielle
Abrienda,Female,Spanish,Opening,The name Abrienda means Opening and is of Spanish origin. Abrienda is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abrienda
Abril,Female,Latin,April,The name Abril means April and is of Latin origin. Abril is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abril
Absolom,Male,Hebrew,Father Is Peace,The name Absolom means Father Is Peace and is of Hebrew origin. Absolom is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/absolom
Abu,Male,African,Nobility,The name Abu means Nobility and is of African origin. Abu is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abu
Acacia,Female,Greek,Thorny Tree,The name Acacia means Thorny Tree and is of Greek origin. Acacia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/acacia
Acadia,Female,French,Idyllic Place,The name Acadia means Idyllic Place and is of French origin. Acadia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/acadia
Acasia,Female,American,Combinatino Of The Names Acacia And Asia,The name Acasia means Combinatino Of The Names Acacia And Asia and is of American origin. Acasia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/acasia
Accalia,Female,Greek,Mythical Greek Name,The name Accalia means Mythical Greek Name and is of Greek origin. Accalia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/accalia
Acciai,Male,Italian,Axe Man,The name Acciai means Axe Man and is of Italian origin. Acciai is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/acciai
Ace,Male,Latin,One Or Expert,The name Ace means One Or Expert and is of Latin origin. Ace is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/ace
Aceline,Female,French,Noble At Birth,The name Aceline means Noble At Birth and is of French origin. Aceline is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/aceline
Baara,Female,Hebrew,Flame,The name Baara means Flame and is of Hebrew origin. Baara is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/baara
Baba,Female,African,Born On Thursday,The name Baba means Born On Thursday and is of African origin. Baba is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/baba
Baback,Male,Persian,Little Father,The name Baback means Little Father and is of Persian origin. Baback is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/baback
Babette,Female,French,My God Is My Oath,The name Babette means My God Is My Oath and is of French origin. Babette is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/babette
Baby,Unisex,English,Infant,The name Baby means Infant and is of English origin. Baby is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/baby
Bach Yen,Female,Vietnamese,White,The name Bach Yen means White and is of Vietnamese origin. Bach Yen is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/bach%2Byen
Bade,Male,Arabic,Incomparable,The name Bade means Incomparable and is of Arabic origin. Bade is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/bade
Baden,Unisex,German,Bather,The name Baden means Bather and is of German origin. Baden is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/baden
Badr,Unisex,Arabic,Moon That Is Full,The name Badr means Moon That Is Full and is of Arabic origin. Badr is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/badr
Badru,Male,African,Born At The Full Moon,The name Badru means Born At The Full Moon and is of African origin. Badru is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/badru
Badu,Female,African,Tenth Born Child,The name Badu means Tenth Born Child and is of African origin. Badu is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/badu
Bae,Unisex,American,Term Of Endearment,The name Bae means Term Of Endearment and is of American origin. Bae is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/bae
Baeddan,Male,Welsh,Boar,The name Baeddan means Boar and is of Welsh origin. Baeddan is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/baeddan
Bagheera,Unisex,Indian,Tigerlike,The name Bagheera means Tigerlike and is of Indian origin. Bagheera is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/bagheera
Baha,Male,Arabic,"Glorious, Splendid","The name Baha means Glorious, Splendid and is of Arabic origin. Baha is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/baha
Bahadur,Male,Arabic,"Hero, Warrior","The name Bahadur means Hero, Warrior and is of Arabic origin. Bahadur is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/bahadur
Bahari,Male,African,One Who Sails,The name Bahari means One Who Sails and is of African origin. Bahari is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/bahari
Bai,Female,Chinese,Pure,The name Bai means Pure and is of Chinese origin. Bai is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/bai
Bailey,Unisex,English,"Bailiff, Steward","The name Bailey means Bailiff, Steward and is of English origin. Bailey is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.",https://www.babynames.com/name/bailey
Baina,Female,Arabic,Clear,The name Baina means Clear and is of Arabic origin. Baina is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/baina
Baines,Male,English,Thin Or Little Anvil,The name Baines means Thin Or Little Anvil and is of English origin. Baines is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/baines
Baird,Male,Scottish,"Minstrel, Poet","The name Baird means Minstrel, Poet and is of Scottish origin. Baird is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/baird
Bairn,Male,Scottish,Child,The name Bairn means Child and is of Scottish origin. Bairn is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/bairn
Baka,Female,Indian,Name Of An Indian Sage,The name Baka means Name Of An Indian Sage and is of Indian origin. Baka is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/baka
Baker,Unisex,English,Occupation Of Baker,The name Baker means Occupation Of Baker and is of English origin. Baker is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/baker
Baki,Male,Arabic,Eternal,The name Baki means Eternal and is of Arabic origin. Baki is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/baki
Baldasarre,Male,Italian,Baal Protect The King,The name Baldasarre means Baal Protect The King and is of Italian origin. Baldasarre is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/baldasarre
Baldwin,Male,English,Bold Friend,The name Baldwin means Bold Friend and is of English origin. Baldwin is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/baldwin
Balin,Male,English,A Knight Of The Round Table,The name Balin means A Knight Of The Round Table and is of English origin. Balin is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/balin
Balint,Male,Hungarian,Health Or Love,The name Balint means Health Or Love and is of Hungarian origin. Balint is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/balint
Ballard,Male,English,Bald-headed Man,The name Ballard means Bald-headed Man and is of English origin. Ballard is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/ballard
Ballari,Female,Indian,Walking Quietly,The name Ballari means Walking Quietly and is of Indian origin. Ballari is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/ballari
Balthazar,Male,Arabic,Baal Protect The King,The name Balthazar means Baal Protect The King and is of Arabic origin. Balthazar is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/balthazar
Bambi,Female,Italian,Child,The name Bambi means Child and is of Italian origin. Bambi is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/bambi
Bambina,Female,Italian,Baby Girl,The name Bambina means Baby Girl and is of Italian origin. Bambina is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/bambina
Ban,Male,Vietnamese,Not Available,The name Ban means Not Available and is of Vietnamese origin. Ban is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/ban
Banagher,Male,Irish,Pointed Hill,The name Banagher means Pointed Hill and is of Irish origin. Banagher is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/banagher
Bandana,Unisex,Spanish,Headwrap,The name Bandana means Headwrap and is of Spanish origin. Bandana is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/bandana
Bandele,Male,African,Follow Me Home,The name Bandele means Follow Me Home and is of African origin. Bandele is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/bandele
Bandit,Unisex,American,Thief,The name Bandit means Thief and is of American origin. Bandit is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/bandit
Bane,Unisex,English,Cause Of Distress Or Annoyance,The name Bane means Cause Of Distress Or Annoyance and is of English origin. Bane is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/bane
Banji,Unisex,African,Second Born Of Twins,The name Banji means Second Born Of Twins and is of African origin. Banji is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/banji
Banjo,Male,English,Banjo,The name Banjo means Banjo and is of English origin. Banjo is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/banjo
Banks,Unisex,English,Edge Of The River,The name Banks means Edge Of The River and is of English origin. Banks is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/banks
Banner,Unisex,American,Flag,The name Banner means Flag and is of American origin. Banner is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/banner
Bansi,Male,Indian,Flute,The name Bansi means Flute and is of Indian origin. Bansi is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/bansi
Banyan,Male,English,Merchant,The name Banyan means Merchant and is of English origin. Banyan is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/banyan
Bao,Male,Vietnamese,"To Order, To Bid","The name Bao means To Order, To Bid and is of Vietnamese origin. Bao is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/bao
Baqer,Male,Arabic,Man Of Knowledge,The name Baqer means Man Of Knowledge and is of Arabic origin. Baqer is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/baqer
Baqir,Male,Arabic,To Rip Open,The name Baqir means To Rip Open and is of Arabic origin. Baqir is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/baqir
Barack,Male,African,Blessed,The name Barack means Blessed and is of African origin. Barack is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/barack
Barak,Male,Hebrew,"Blessing, Spark","The name Barak means Blessing, Spark and is of Hebrew origin. Barak is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/barak
Barakat,Male,Arabic,Blessings,The name Barakat means Blessings and is of Arabic origin. Barakat is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/barakat
Baraz,Male,Persian,Exalted,The name Baraz means Exalted and is of Persian origin. Baraz is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/baraz
Barb,Female,Latin,Stranger,The name Barb means Stranger and is of Latin origin. Barb is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/barb
Barbara,Female,Greek,Stranger,The name Barbara means Stranger and is of Greek origin. Barbara is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/barbara
Barbie,Female,American,Stranger,The name Barbie means Stranger and is of American origin. Barbie is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/barbie
Barbod,Male,Persian,Guitar,The name Barbod means Guitar and is of Persian origin. Barbod is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/barbod
Barbra,Female,American,Stranger,The name Barbra means Stranger and is of American origin. Barbra is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/barbra
Barclay,Male,English,Birch Wood,The name Barclay means Birch Wood and is of English origin. Barclay is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/barclay
Bardia,Male,Persian,"Exalted, Lofty","The name Bardia means Exalted, Lofty and is of Persian origin. Bardia is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/bardia
Bardolph,Male,English,Bright Wolf,The name Bardolph means Bright Wolf and is of English origin. Bardolph is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/bardolph
Bardot,Unisex,French,French Surname,The name Bardot means French Surname and is of French origin. Bardot is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/bardot
Barend,Male,Dutch,Bear Brave,The name Barend means Bear Brave and is of Dutch origin. Barend is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/barend
Barid,Male,Persian,Messenger,The name Barid means Messenger and is of Persian origin. Barid is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/barid
Barke,Male,African,Blessings,The name Barke means Blessings and is of African origin. Barke is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/barke
Cabernet,Unisex,French,Varietal Of Wine,The name Cabernet means Varietal Of Wine and is of French origin. Cabernet is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cabernet
Cable,Unisex,American,Rope,The name Cable means Rope and is of American origin. Cable is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cable
Cache,Unisex,American,Storage Place,The name Cache means Storage Place and is of American origin. Cache is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cache
Cactus,Unisex,American,From The Cactus Plant,The name Cactus means From The Cactus Plant and is of American origin. Cactus is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cactus
Cade,Unisex,English,"Stout, Sturdy","The name Cade means Stout, Sturdy and is of English origin. Cade is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.",https://www.babynames.com/name/cade
Cadee,Female,American,Pure,The name Cadee means Pure and is of American origin. Cadee is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/cadee
Cadelaria,Female,Spanish,Born At Candlemas,The name Cadelaria means Born At Candlemas and is of Spanish origin. Cadelaria is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/cadelaria
Caden,Unisex,American,Fighter,The name Caden means Fighter and is of American origin. Caden is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/caden
Cadence,Unisex,Latin,Rhythm,The name Cadence means Rhythm and is of Latin origin. Cadence is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cadence
Cadenza,Female,Italian,Cadence,The name Cadenza means Cadence and is of Italian origin. Cadenza is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/cadenza
Cadewyn,Unisex,Welsh,White Battle,The name Cadewyn means White Battle and is of Welsh origin. Cadewyn is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cadewyn
Cadhla,Female,Irish,Beautiful,The name Cadhla means Beautiful and is of Irish origin. Cadhla is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/cadhla
Cadmus,Male,Greek,From The East,The name Cadmus means From The East and is of Greek origin. Cadmus is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/cadmus
Cady,Female,American,Pure,The name Cady means Pure and is of American origin. Cady is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/cady
Cael,Unisex,Irish,Slender,The name Cael means Slender and is of Irish origin. Cael is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cael
Caelan,Unisex,Irish,Slender Person,The name Caelan means Slender Person and is of Irish origin. Caelan is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/caelan
Caerwyn,Unisex,Welsh,White Fortress,The name Caerwyn means White Fortress and is of Welsh origin. Caerwyn is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/caerwyn
Caesar,Male,Latin,Thick Head Of Hair,The name Caesar means Thick Head Of Hair and is of Latin origin. Caesar is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/caesar
Caesarea,Female,Latin,Leader,The name Caesarea means Leader and is of Latin origin. Caesarea is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/caesarea
Cage,Unisex,English,Confining Structure With Bars,The name Cage means Confining Structure With Bars and is of English origin. Cage is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cage
Cagney,Unisex,Irish,Descendant Of The Advocate,The name Cagney means Descendant Of The Advocate and is of Irish origin. Cagney is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cagney
Cahya,Unisex,Indonesian,The Light,The name Cahya means The Light and is of Indonesian origin. Cahya is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cahya
Cai,Unisex,Welsh,Rejoice,The name Cai means Rejoice and is of Welsh origin. Cai is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cai
Caia,Female,Latin,To Rejoice,The name Caia means To Rejoice and is of Latin origin. Caia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/caia
Cailean,Unisex,Scottish,Whelp,The name Cailean means Whelp and is of Scottish origin. Cailean is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/cailean
Cailyn,Female,American,Pure,The name Cailyn means Pure and is of American origin. Cailyn is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/cailyn
Caimbrie,Female,English,From Wales,The name Caimbrie means From Wales and is of English origin. Caimbrie is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/caimbrie
Cain,Male,Hebrew,Acquired,The name Cain means Acquired and is of Hebrew origin. Cain is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/cain
